"Binomial","GeogRangeIUCN","HetHab_VarEVI_1Km","HetHab_VarEVI_5Km","HetHab_VarEVI_50Km","HetTopo_Rugged_1Km","HetTopo_Rugged_5Km","HetTopo_Rugged_50Km","HumPopDen_1Km","HumPopDen_5Km","HumPopDen_50Km","MidLat","PctPAOverlap","PrimaryBiome"
"Amblysomus_robustus",1734.94754040491,735.539489746094,734.398803710938,1380.45825195312,19.2051544189453,19.1837787628174,19.3181495666504,48.6981773376465,50.3561477661133,31.6698760986328,-25.5005277262491,0,10
"Amblysomus_septentrionalis",32675.8525956441,662.827941894531,663.857116699219,1239.10485839844,13.8868656158447,13.8915758132935,13.7843894958496,49.6189994812012,50.0602073669434,50.782039642334,-26.4259859906944,0.0050290128132482,10
"Ammodillus_imbellis",210235.628104393,363.596008300781,363.640350341797,947.534606933594,1.88366723060608,1.88360989093781,1.88579308986664,12.4056997299194,12.4059772491455,12.2039270401001,6.29949500413399,0,7
"Ammodorcas_clarkei",83716.8585400699,385.916625976562,386.032989501953,1048.43176269531,2.00501680374146,2.0013382434845,1.99060165882111,9.31470584869385,9.31283378601074,9.54483413696289,6.75231062673605,0,7
"Ammotragus_lervia",1416968.0144311,418.703857421875,418.828460693359,1272.20874023438,9.80506134033203,9.79810237884521,9.61568260192871,10.10901927948,10.1083679199219,9.85181713104248,23.9837873459138,0.0274983836145871,13
"Anomalurus_beecrofti",3245229.51098554,321.221923828125,324.930084228516,672.702819824219,9.28852272033691,9.28401565551758,9.21398735046387,78.6053695678711,79.6436538696289,80.1415786743164,1.80135044596255,0.0540995501181805,1
"Anomalurus_derbianus",5752726.98106305,344.850769042969,349.143524169922,744.682189941406,9.43854808807373,9.43543529510498,9.38269519805908,80.4469375610352,82.3247909545898,82.2802658081055,-4.11059427099631,0.0698691368148118,7
"Anomalurus_pelii",242873.006713994,360.269134521484,364.913604736328,671.536865234375,8.39925384521484,8.38822650909424,8.15082836151123,178.473449707031,180.641128540039,183.046615600586,6.27926315267823,0.0731742444203547,1
"Anomalurus_pusillus",573139.903471436,242.898162841797,246.213729858398,517.706665039062,11.7784690856934,11.773078918457,11.8032646179199,58.7136535644531,60.2103729248047,59.2457084655762,0.438026349824278,0.0898407077008697,1
"Antidorcas_marsupialis",1950012.85457996,498.483306884766,500.749114990234,1276.11450195312,5.85837650299072,5.85414743423462,5.82283020019531,16.7715644836426,16.8247985839844,17.0163478851318,-25.2140071788108,0.104622388747083,13
