"Binomial","MeanTemp_1Km","MeanPrecip_1Km","TempSeas_1Km","PrecipSeas_1Km","MeanTemp_5Km","MeanPrecip_5Km","TempSeas_5Km","PrecipSeas_5Km","MeanTemp_50Km","TempSeas_50Km","MeanPrecip_50Km","PrecipSeas_50Km"
"Kerivoula_africana",25.7515335083008,1059.77111816406,149.120529174805,69.7743453979492,25.7504901885986,1059.71752929688,149.103713989258,69.748908996582,25.6828804016113,149.630218505859,1058.25646972656,70.1059188842773
"Kerivoula_argentata",21.8979015350342,1035.75317382812,183.479537963867,97.0244827270508,21.8979263305664,1035.73583984375,183.451675415039,97.0165863037109,21.9002532958984,183.438568115234,1035.75244140625,96.9980239868164
"Kerivoula_cuprosa",25.0373611450195,1661.66003417969,72.8418197631836,43.8735313415527,25.0373458862305,1661.66516113281,72.809700012207,43.8716850280762,25.0373497009277,72.8276062011719,1662.05041503906,43.9166793823242
"Kerivoula_eriophora",23.1202068328857,784.791259765625,143.657516479492,114.3271484375,23.0982913970947,785.363403320312,143.5087890625,114.437141418457,22.5542011260986,140.781845092773,779.368041992188,115.598541259766
"Kerivoula_lanosa",23.1152439117432,1193.67163085938,154.325607299805,77.1402282714844,23.1152591705322,1193.65954589844,154.292343139648,77.133918762207,23.1152153015137,154.297500610352,1193.85375976562,77.1440505981445
"Kerivoula_phalaena",24.6024627685547,1730.798828125,68.7277145385742,43.330638885498,24.602710723877,1730.89831542969,68.6945953369141,43.3344078063965,24.6007785797119,68.7311172485352,1730.93127441406,43.4112205505371
"Kerivoula_smithii",24.2644271850586,1794.86499023438,57.1606559753418,37.7272300720215,24.2647876739502,1794.98303222656,57.1253776550293,37.7274131774902,24.2714252471924,57.1509857177734,1794.24377441406,37.7738418579102
"Kobus_ellipsiprymnus",24.0413627624512,1043.10620117188,180.963531494141,94.0166091918945,24.041597366333,1043.09338378906,180.927688598633,94.0124359130859,24.0377006530762,180.914703369141,1043.20458984375,94.0196380615234
"Kobus_kob",26.2400493621826,1146.0439453125,158.987899780273,91.3887710571289,26.2402267456055,1146.17102050781,158.944351196289,91.39794921875,26.2368774414062,158.958206176758,1146.45446777344,91.4011840820312
"Kobus_leche",21.994384765625,828.215515136719,274.311767578125,107.60913848877,21.9943790435791,828.2041015625,274.288604736328,107.610771179199,21.981840133667,274.505096435547,828.741638183594,107.573852539062
"Kobus_megaceros",27.6199684143066,830.028137207031,135.874420166016,96.8298797607422,27.620153427124,830.032531738281,135.862045288086,96.8267059326172,27.6290321350098,136.37809753418,830.325805664062,96.758544921875
"Kobus_vardonii",21.5146141052246,1078.20690917969,214.137252807617,104.864059448242,21.5137805938721,1078.21606445312,214.10954284668,104.864631652832,21.4329986572266,213.805221557617,1080.29284667969,104.849494934082
