Order	Family	Genus	Species	Red_List_status	Population_trend	IUCN.NUM	POP.NUM	Suit0k	Suit21k	Range0k	Range21k	DeltaRange	LogDR	DeltaSuit	LogDS	AdultBodyMass_g	LogBMg	GroupBMg
CETARTIODACTYLA	BOVIDAE	Litocranius	Litocranius_walleri	NT	decreasing	0	1	0.835378077	0.637790283	605	386	0.567357513	0.449391089	0.309800571	0.26987489	38804.37	10.56628815	11
RODENTIA	CRICETIDAE	Lophiomys	Lophiomys_imhausi	LC	stable	0	0	0.722235798	0.775841033	386	485	-0.204123711	-0.228311521	-0.069093064	-0.071595968	755	6.626717749	7
PRIMATES	CERCOPITHECIDAE	Lophocebus	Lophocebus_albigena	LC	decreasing	0	1	0.866395712	0.801643569	803	741	0.083670715	0.080354089	0.080774232	0.077677666	7418.71	8.911760467	9
PRIMATES	CERCOPITHECIDAE	Lophocebus	Lophocebus_aterrimus	NT	decreasing	0	1	0.966871429	0.79841214	304	133	1.285714286	0.826678573	0.210992895	0.191440598	6510.37	8.781151569	9
RODENTIA	MURIDAE	Lophuromys	Lophuromys_brevicaudus	NT	decreasing	0	1	0.741736928	0.891966026	28	80	-0.65	-1.049822124	-0.168424686	-0.184433409	63.85388804	4.156597474	4
RODENTIA	MURIDAE	Lophuromys	Lophuromys_chrysopus	LC	unknown	0	NA	0.862276371	0.756558373	75	38	0.973684211	0.679901954	0.139735415	0.130796144	63.85388804	4.156597474	4
RODENTIA	MURIDAE	Lophuromys	Lophuromys_flavopunctatus	LC	unknown	0	NA	0.632069514	0.686459709	1721	2484	-0.307165862	-0.366964647	-0.079232902	-0.082548155	57.07	4.044278585	4
RODENTIA	MURIDAE	Lophuromys	Lophuromys_huttereri	LC	unknown	0	NA	0.855284124	0.875036966	38	36	0.055555556	0.054067221	-0.022573723	-0.02283241	54.17229579	3.99216963	4
RODENTIA	MURIDAE	Lophuromys	Lophuromys_luteogaster	LC	unknown	0	NA	0.791617614	0.725549065	45	19	1.368421053	0.862223511	0.091060071	0.087149766	97.7597015	4.582512442	5
RODENTIA	MURIDAE	Lophuromys	Lophuromys_medicaudatus	VU	decreasing	1	1	0.435962852	0.815198659	14	138	-0.898550725	-2.288196356	-0.465206613	-0.625874799	63.85388804	4.156597474	4
RODENTIA	MURIDAE	Lophuromys	Lophuromys_melanonyx	VU	unknown	1	NA	0.530202605	0.857542356	15	454	-0.966960352	-3.410046997	-0.381718464	-0.480811365	10.2	2.32238772	2
RODENTIA	MURIDAE	Lophuromys	Lophuromys_nudicaudus	LC	unknown	0	NA	0.962505899	0.681898082	239	46	4.195652174	1.647822155	0.411509908	0.344659988	32.59	3.484005493	3
RODENTIA	MURIDAE	Lophuromys	Lophuromys_rahmi	NT	unknown	0	NA	0.694019747	0.867398177	11	11	0	0	-0.199883323	-0.222997716	38	3.63758616	4
RODENTIA	MURIDAE	Lophuromys	Lophuromys_sikapusi	LC	unknown	0	NA	0.92919521	0.77575328	1403	1031	0.360814743	0.308083596	0.197797332	0.180484314	62.72	4.138680376	4
RODENTIA	MURIDAE	Lophuromys	Lophuromys_woosnami	LC	unknown	0	NA	0.800496451	0.83595381	48	36	0.333333333	0.287682072	-0.042415452	-0.043341261	42.14	3.740997408	4
PROBOSCIDEA	ELEPHANTIDAE	Loxodonta	Loxodonta_africana	VU	increasing	1	0	0.694886366	0.547271244	4509	3251	0.386957859	0.327112758	0.269729358	0.238803774	3824540	15.15694876	15
CARNIVORA	MUSTELIDAE	Hydrictis	Lutra_maculicollis	NT	decreasing	0	1	0.74631481	0.776429017	4350	4911	-0.114233354	-0.121301742	-0.038785525	-0.039557716	4000	8.29404964	8
CARNIVORA	CANIDAE	Lycaon	Lycaon_pictus	EN	decreasing	1	1	0.457611265	0.471581164	3671	4639	-0.208665661	-0.234034721	-0.02962353	-0.03007117	21999.99	9.998797278	10
MACROSCELIDEA	MACROSCELIDIDAE	Macroscelides	Macroscelides_proboscideus	LC	stable	0	0	0.918303462	0.891217817	353	321	0.099688474	0.095026934	0.030391723	0.029939044	38.64	3.654288009	4
RODENTIA	NESOMYIDAE	Macrotarsomys	Macrotarsomys_bastardi	LC	stable	0	0	0.954655024	0.643616746	105	22	3.772727273	1.562917897	0.483266292	0.39424661	28.45	3.348148161	3
CETARTIODACTYLA	BOVIDAE	Madoqua	Madoqua_guentheri	LC	stable	0	0	0.917864014	0.639667873	529	243	1.176954733	0.777926989	0.434907165	0.361100154	4623.7	8.438950529	8
CETARTIODACTYLA	BOVIDAE	Madoqua	Madoqua_kirkii	LC	stable	0	0	0.665785665	0.736994664	749	1114	-0.327648115	-0.396973437	-0.096620779	-0.101612857	4833.4	8.483305433	8
CETARTIODACTYLA	BOVIDAE	Madoqua	Madoqua_piacentinii	DD	decreasing	NA	1	0.938039671	0.764939803	51	15	2.4	1.223775432	0.226292143	0.203995099	2500	7.824046011	8
CETARTIODACTYLA	BOVIDAE	Madoqua	Madoqua_saltiana	LC	stable	0	0	0.90296847	0.589584713	458	188	1.436170213	0.890427221	0.531533044	0.426269223	3424.47	8.138701994	8
RODENTIA	MURIDAE	Malacomys	Malacomys_cansdalei	LC	unknown	0	NA	0.93878642	0.625453748	95	7	12.57142857	2.607966743	0.500968572	0.406110614	63.85388804	4.156597474	4
RODENTIA	MURIDAE	Malacomys	Malacomys_edwardsi	LC	unknown	0	NA	0.970320231	0.437010239	205	5	40	3.713572067	1.220360404	0.797669527	63.78	4.155439662	4
RODENTIA	MURIDAE	Malacomys	Malacomys_longipes	LC	unknown	0	NA	0.874818844	0.771535159	941	807	0.166047088	0.153619471	0.133867762	0.125634587	95.64	4.560591143	5
RODENTIA	NESOMYIDAE	Malacothrix	Malacothrix_typica	LC	stable	0	0	0.915479881	0.82871138	647	584	0.107876712	0.102445312	0.10470292	0.099576448	17.02	2.834389123	3
PRIMATES	CERCOPITHECIDAE	Mandrillus	Mandrillus_leucophaeus	EN	unknown	1	NA	0.783857567	0.620999052	36	14	1.571428571	0.944461609	0.262252437	0.232897774	14253.3	9.564743738	10
PRIMATES	CERCOPITHECIDAE	Mandrillus	Mandrillus_sphinx	VU	unknown	1	NA	0.962070276	0.782036483	150	76	0.973684211	0.679901954	0.230211501	0.207186107	16685.06	9.722268987	10
RODENTIA	CTENODACTYLIDAE	Massoutiera	Massoutiera_mzabi	LC	unknown	0	NA	0.930318854	0.813854126	88	40	1.2	0.78845736	0.143102707	0.133746238	194	5.267858159	5
RODENTIA	MURIDAE	Mastomys	Mastomys_awashensis	LC	unknown	0	NA	0.724062539	0.921992914	14	83	-0.831325301	-1.779783278	-0.214676678	-0.241659771	113.69	4.733475446	5
RODENTIA	MURIDAE	Mastomys	Mastomys_coucha	LC	stable	0	0	0.873041854	0.804370406	851	830	0.025301205	0.024986428	0.085372917	0.08192363	53.81	3.985459324	4
RODENTIA	MURIDAE	Mastomys	Mastomys_erythroleucus	LC	stable	0	0	0.817226821	0.453586863	2988	1617	0.847866419	0.614031687	0.801698611	0.588729893	64.07	4.159976236	4
RODENTIA	MURIDAE	Mastomys	Mastomys_huberti	LC	increasing	0	0	0.862716283	0.400237218	677	89	6.606741573	2.029034903	1.155512391	0.768028464	385	5.953243334	6
RODENTIA	MURIDAE	Mastomys	Mastomys_kollmannspergeri	LC	stable	0	0	0.882793377	0.751708688	762	602	0.265780731	0.23568911	0.174382298	0.160742306	90.91	4.509870006	5
RODENTIA	MURIDAE	Mastomys	Mastomys_natalensis	LC	stable	0	0	0.907301491	0.838043697	5597	5396	0.037249815	0.036572802	0.082642223	0.079404556	41.85	3.734091797	4
RODENTIA	MURIDAE	Mastomys	Mastomys_pernanus	DD	unknown	NA	NA	0.856702981	0.782013782	109	69	0.579710145	0.457241378	0.095508802	0.091218915	113.69	4.733475446	5
RODENTIA	MURIDAE	Mastomys	Mastomys_shortridgei	LC	stable	0	0	0.91901182	0.738142159	67	15	3.466666667	1.496642418	0.245033642	0.219162551	46.5	3.839452313	4
RODENTIA	NESOMYIDAE	Megadendromus	Megadendromus_nikolausi	DD	unknown	NA	NA	0.574629539	0.841238358	23	177	-0.870056497	-2.040655517	-0.31692423	-0.381149489	52	3.951243719	4
CHIROPTERA	PTEROPODIDAE	Megaloglossus	Megaloglossus_woermanni	LC	stable	0	0	0.921761052	0.66982678	1294	765	0.691503268	0.525617641	0.376118542	0.319266886	16.71	2.816007343	3
CARNIVORA	MUSTELIDAE	Mellivora	Mellivora_capensis	LC	decreasing	0	1	0.782831089	0.769927828	7680	8091	-0.050797182	-0.052132786	0.016759052	0.016620169	8999.99	9.104978745	9
RODENTIA	MURIDAE	Meriones	Meriones_arimalius	LC	unknown	0	NA	0.983106254	0.736276073	130	7	17.57142857	2.921624301	0.335241345	0.289112058	91.33333333	4.514515818	5
RODENTIA	MURIDAE	Meriones	Meriones_crassus	LC	unknown	0	NA	0.974385859	0.701219643	426	21	19.28571429	3.009916909	0.389558705	0.328986219	69.94	4.247637732	4
RODENTIA	MURIDAE	Meriones	Meriones_hurrianae	LC	unknown	0	NA	0.882001534	0.856547411	18	19	-0.052631579	-0.054067221	0.029717121	0.029284125	71.02	4.262961528	4
RODENTIA	MURIDAE	Meriones	Meriones_libycus	LC	stable	0	0	0.972407077	0.796235843	210	38	4.526315789	1.709521371	0.221255092	0.199879094	91.33	4.514479321	5
RODENTIA	MURIDAE	Meriones	Meriones_persicus	LC	unknown	0	NA	0.948839561	0.923269989	33	18	0.833333333	0.606135804	0.027694577	0.027318019	107.52	4.677676877	5
RODENTIA	MURIDAE	Meriones	Meriones_rex	LC	unknown	0	NA	0.861323738	0.658436029	112	30	2.733333333	1.31730149	0.308135794	0.268603065	125.25	4.83031174	5
PRIMATES	CHEIROGALEIDAE	Microcebus	Microcebus_bongolavensis	EN	decreasing	1	1	0.707578812	0.91549333	6	35	-0.828571429	-1.763588592	-0.227106534	-0.257614059	54.22	3.993049844	4
PRIMATES	CHEIROGALEIDAE	Microcebus	Microcebus_danfossorum	EN	decreasing	1	1	0.694637312	0.913294431	4	29	-0.862068966	-1.981001469	-0.239415802	-0.273668459	54.22	3.993049844	4
PRIMATES	CHEIROGALEIDAE	Microcebus	Microcebus_griseorufus	LC	decreasing	0	1	0.945336622	0.886943477	33	26	0.269230769	0.238411023	0.065836377	0.063759822	70.24	4.251917949	4
PRIMATES	CHEIROGALEIDAE	Microcebus	Microcebus_jollyae	EN	decreasing	1	1	0.776943413	0.89236013	17	34	-0.5	-0.693147181	-0.12933872	-0.138502264	54.22	3.993049844	4
PRIMATES	CHEIROGALEIDAE	Microcebus	Microcebus_murinus	LC	decreasing	0	1	0.881620773	0.627690775	108	47	1.29787234	0.831983625	0.404546329	0.339714353	69	4.234106505	4
PRIMATES	CHEIROGALEIDAE	Microcebus	Microcebus_myoxinus	VU	decreasing	1	1	0.580208211	0.63520852	204	260	-0.215384615	-0.242561637	-0.086586227	-0.0905663	31.23	3.441379171	3
